PTN_NO,PRODUCT_ID,URL
18283,ukraine,+ukraine
17970,ukraine peace,+ukraine-peace
18816,uncle,+uncle
20519,under 20,+under-20
20483,under 25 for her,+under-25-for-her
20475,under 25 for him,+under-25-for-him
20516,under 30,+under-30
20505,under 50,+under-50
20464,under 50 for her,+under-50-for-her
20480,under 50 for him,+under-50-for-him
20385,Underwear & Panties,+underwear
18610,union worker,+union-worker
18085,unique valentines,+unique-valentines
19722,"",+upload-a-photo
19976,U.S. Air Force,+usaffp
19926,U.S. Army,+usarmy
19689,U.S. Marines,+usmcfp
20212,U.S. Navy,+usnavy
18538,vaccinated,+vaccinated
20496,valentines,+valentines
20513,valentines day,+valentines-day
19843,"",+value-t-shirts
20394,Value T-Shirts,+value-t-shirts
17226,Vases,+vases
20388,Vases & Flower Pots,+vases-and-flower-pots
19769,Veep TV Show,+veeptv
19589,veteran,+veteran
17866,Veterans For Trump,+veterans-for-trump
18542,veterinarian,+veterinarian
19390,vietnam veteran,+vietnam-veteran
18749,vintage elections,+vintage-elections
17178,LED Votive Candles,+votive-candles
17229,Wall Art,+wall-art
17287,2026 Wall Calendars,+wall-calendars
17247,Wall Decals,+wall-decals
17926,wall street,+wall-street
17107,Water Bottles,+water-bottles
19231,wedding,+wedding
17130,Weekender Tote,+weekender-totes
17825,welcome,+welcome
18433,wife,+wife
20468,wine,+wine
18364,winter,+winter
17346,Wireless Charger,+wireless-charger
18315,witch,+witch
19789,"",+wizard-of-oz
18184,Women For Trump,+women-for-trump
19740,"",+womens
17054,Women's Baseball Tees,+womens-baseball-tees
17069,Women's Boy Brief Panties,+womens-boy-brief-panties
17047,Women's Classic T-Shirts,+womens-classic-t-shirts
17044,Women's Clothing,+womens-clothing
17050,Women's Comfort Colors® T-Shirts,+womens-comfort-colors-t-shirts
19960,"",+womens-comfort-colors®-t-shirts
17060,Women's Crewneck Sweatshirts,+womens-crew-neck-sweatshirts
17049,Women's Eco Sport T-Shirts,+womens-eco-sport-tshirts
17139,Women's Flip Flops,+womens-flip-flops
17053,Women's Football Tees,+womens-football-tees
17056,Womens Hooded T-Shirts,+womens-hooded-t-shirts
17061,Women's Hoodies,+womens-hoodies
17059,Women's Hoodies & Sweatshirts,+womens-hoodies-sweatshirts
17066,Women's Long Sleeve Pyjama Sets,+womens-long-sleeve-pajama-sets
17055,Women's Long Sleeve T-Shirts,+womens-long-sleeve-t-shirts
17064,Women's Nightshirts,+womens-nightshirts
17065,Women's Short Sleeve Pyjama Sets,+womens-pajama-sets
17063,Women's Pyjamas,+womens-pajamas
17051,Women's Ringer Tees,+womens-ringer-tees
17045,Women's T-Shirts,+womens-t-shirts
17048,Women's Deluxe T-Shirts,+womens-tri-blend-t-shirts
19947,"",+womens-tri-blend-t-shirts
17067,Women's Underwear & Panties,+womens-underwear
17052,Women's V-neck T-Shirts,+womens-v-neck-t-shirts
